"new_id","Date","Year","dhw_max","parrot","macro","ssta_freq_sd","temp_max","depth","exposure_fac","cyclone_mag","turbidity","urchin_sum_all"
68,"2005-11-09",2005,3.18999992869794,0,0,1.46,304.23,5,1,76.572838,0.040927999,0
68,"2006-11-09",2006,0.139999996870756,0.25,0,1.46,304.23,5,1,76.572838,0.036802001,0.25
69,"2012-03-17",2012,1.27999997138977,1.5,0.04375,1.46,304.23,4.5,1,76.572838,NA,0.5
69,"2013-03-19",2013,1.00999997742474,2.25,0,1.46,304.23,4.5,1,76.572838,NA,0
69,"2014-03-24",2014,0.479999989271164,4.75,0.025,1.46,304.23,4.5,1,76.572838,NA,0.25
69,"2010-02-05",2010,1.99999995529652,0.75,0.06875,1.46,304.23,4.5,1,76.572838,0.058104999,0
69,"2011-02-11",2011,0,2.25,0,1.46,304.23,4.5,1,76.572838,0.067956001,0
70,"2013-01-14",2013,3.20999992825091,0.75,0.5875,1.836666667,303.8733333,2.3,0,65.347108,NA,0
70,"2014-01-21",2014,0,0,0.45625,1.836666667,303.8733333,2.3,0,65.347108,NA,0
71,"2013-01-14",2013,2.68999993987381,4.5,0.06875,1.82,305.38,4.5,0,59.510026,NA,39.75
71,"2014-01-21",2014,0,8.25,0.24375,1.82,305.38,4.5,0,59.510026,NA,39.75
73,"2013-05-19",2013,0,4.5,0.2875,1.58,303.75,1.8,0,67.547151,NA,0
75,"2013-06-23",2013,0.149999996647239,NA,0,1.72,304.54,2,0,45.326913,NA,NA
75,"2016-04-25",2016,2.30999994836748,NA,0.00625,1.72,304.54,2,0,45.326913,NA,NA
78,"2012-03-18",2012,0.639999985694885,4.5,0.025,1.55,303.73,5,0,59.961468,NA,17.5
78,"2013-05-18",2013,0,4.5,0.025,1.55,303.73,5,0,59.961468,NA,20.75
80,"2013-05-18",2013,0,3,0.05625,1.62,303.91,1.8,0,59.961468,NA,0.25
89,"1999-09-27",1999,0,NA,0,0.88,303.41,4,1,54.111054,NA,1.25
