"new_id","Reef_Check_ID","Lat","Long","Depth","Date","Year","Location","macro","parrot","bleaching","coral"
2063,"166.50.11E.11.9.12N",11.15333333,166.8363889,9,2002-08-07,2002,"Marshall Islands",0.03125,7,NA,0.33125
2064,"119.40.09E.11.09.57N",11.16583333,119.6691667,3,1999-07-22,1999,"Philippines",0.4375,NA,NA,0.19375
2065,"119.40.09E.11.09.57N",11.16583333,119.6691667,10,1999-07-22,1999,"Philippines",0.38125,NA,NA,0.325
2065,"119.40.09E.11.09.57N",11.16583333,119.6691667,10,2000-08-03,2000,"Philippines",0.13125,2,NA,0.275
2066,"119.21.25.1E.11.14.12.7N",11.23686111,119.3569722,3.3,2014-03-18,2014,"Philippines",0.1,NA,NA,0.2375
2067,"74.11.48.6W.11.18.2N",11.30005,-74.19683333,3,2000-09-23,2000,"Southwestern Caribbean",0,4.75,NA,0.0875
2068,"74.11.48.6W.11.18.2N",11.30005,-74.19683333,10,2000-09-23,2000,"Southwestern Caribbean",0.025,18,NA,0.15
2069,"74.09.55W.11.18.05N",11.30138889,-74.16527778,5,2004-06-20,2004,"Southwestern Caribbean",0.01875,5.75,NA,0.29375
2070,"74.09.15W.11.18.30N",11.30833333,-74.15416667,5,2004-06-20,2004,"Southwestern Caribbean",0.14375,4,NA,0.1875
2071,"74.11.38.7W11.18.48.2N",11.31338333,-74.19408333,3,2000-09-23,2000,"Southwestern Caribbean",0.13125,9.75,NA,0.41875
2072,"74.11.38.7W11.18.48.2N",11.31338333,-74.19408333,10,2000-09-23,2000,"Southwestern Caribbean",0.14375,7,NA,0.40625
2073,"11N74W1",11.31666667,-74.2,3,1998-09-06,1998,"Southwestern Caribbean",0,5.5,NA,0.18125
2074,"11N74W1",11.31666667,-74.2,10,1998-09-06,1998,"Southwestern Caribbean",0.00625,1.5,NA,0.125
2075,"11N108E2",11.32002778,108.8758611,3,1998-09-25,1998,"Southeast Asia",0,NA,NA,0.275
2076,"11N108E2",11.32002778,108.8758611,6,1998-09-25,1998,"Southeast Asia",0,NA,NA,0.15625
2077,"11N108E3",11.32002778,108.8758611,3,1998-09-26,1998,"Southeast Asia",0.00625,NA,NA,0.39375
2078,"11N108E3",11.32002778,108.8758611,6,1998-09-26,1998,"Southeast Asia",0,NA,NA,0.30625
2079,"108.90541E.11.32159N",11.32158333,108.9054167,2,2001-10-29,2001,"Southeast Asia",0.01875,NA,NA,0.43125
2080,"108.90541E.11.32159N",11.32158333,108.9054167,3,2001-10-29,2001,"Southeast Asia",0,NA,NA,0.4875
2081,"74.09.50W.11.19.25N",11.32361111,-74.16388889,5,2004-06-20,2004,"Southwestern Caribbean",0.00625,9,NA,0.25
2082,"74.09.50W.11.19.25N",11.32361111,-74.16388889,10,2004-06-20,2004,"Southwestern Caribbean",0.0375,7.5,NA,0.35
2083,"74.9.52.5W11.19.31.5N",11.32541667,-74.16458333,5,2000-09-23,2000,"Southwestern Caribbean",0,1,NA,0.3625
2084,"74.9.52.5W11.19.31.5N",11.32541667,-74.16458333,10,2000-09-23,2000,"Southwestern Caribbean",0,1.75,NA,0.29375
2085,"74.5.3W11.19.51.7N",11.331,-74.08833333,3,2000-09-23,2000,"Southwestern Caribbean",0,9,NA,0.41875
2086,"74.5.3W11.19.51.7N",11.331,-74.08833333,10,2000-09-23,2000,"Southwestern Caribbean",0,13.75,NA,0.475
2087,"108.85938E.11.33304N",11.33302778,108.8593889,1.5,2001-10-30,2001,"Southeast Asia",0.03125,NA,NA,0.64375
2088,"108.85938E.11.33304N",11.33302778,108.8593889,3.5,2001-10-30,2001,"Southeast Asia",0.0375,NA,NA,0.45625
2089,"11N108E1",11.33333333,108.8775,4,1998-09-26,1998,"Southeast Asia",0.0125,NA,NA,0.475
2090,"11N108E1",11.33333333,108.8775,9,1998-09-26,1998,"Southeast Asia",0,NA,NA,0.0875
2091,"109.01226E.11.41202N",11.41202778,109.01225,2.8,2001-07-21,2001,"Southeast Asia",0.01875,NA,NA,0.48125
2092,"109.01226E.11.41202N",11.41202778,109.01225,4,2001-07-21,2001,"Southeast Asia",0,NA,NA,0.2875
2093,"109.7.40.51E.11.33.44.82N",11.56244444,109.1279167,3,2007-06-30,2007,"Southeast Asia",0.00625,NA,NA,0.01875
2094,"109.7.40.51E.11.33.44.82N",11.56244444,109.1279167,8.5,2007-06-30,2007,"Southeast Asia",0.025,NA,NA,0.0125
2093,"109.7.40.51E.11.33.44.82N",11.56244444,109.1279167,3,2008-07-22,2008,"Southeast Asia",0.05625,NA,NA,0.05
2094,"109.7.40.51E.11.33.44.82N",11.56244444,109.1279167,8.5,2008-07-22,2008,"Southeast Asia",0.00625,NA,NA,0.0125
2093,"109.7.40.51E.11.33.44.82N",11.56244444,109.1279167,3,2009-06-12,2009,"Southeast Asia",0.025,NA,NA,0.06875
2094,"109.7.40.51E.11.33.44.82N",11.56244444,109.1279167,8.5,2009-06-12,2009,"Southeast Asia",0,NA,NA,0.05625
2093,"109.7.40.51E.11.33.44.82N",11.56244444,109.1279167,3,2010-06-07,2010,"Southeast Asia",0.025,NA,NA,0.10625
2094,"109.7.40.51E.11.33.44.82N",11.56244444,109.1279167,8.5,2010-06-07,2010,"Southeast Asia",0.0125,NA,NA,0.0375
2093,"109.7.40.51E.11.33.44.82N",11.56244444,109.1279167,3,2011-05-18,2011,"Southeast Asia",0.05,NA,NA,0.15
2094,"109.7.40.51E.11.33.44.82N",11.56244444,109.1279167,8.5,2011-05-18,2011,"Southeast Asia",0.00625,NA,NA,0.10625
2095,"109.7.24.1E.11.33.55.19N",11.56533333,109.1233611,3,2007-06-30,2007,"Southeast Asia",0.025,NA,NA,0.3125
2096,"109.7.24.1E.11.33.55.19N",11.56533333,109.1233611,8.5,2007-06-30,2007,"Southeast Asia",0.0125,NA,NA,0.15
2095,"109.7.24.1E.11.33.55.19N",11.56533333,109.1233611,3,2008-07-22,2008,"Southeast Asia",0.24375,NA,NA,0.075
2096,"109.7.24.1E.11.33.55.19N",11.56533333,109.1233611,8.5,2008-07-22,2008,"Southeast Asia",0.1125,NA,NA,0.01875
2095,"109.7.24.1E.11.33.55.19N",11.56533333,109.1233611,3,2009-06-12,2009,"Southeast Asia",0.11875,NA,NA,0.01875
2096,"109.7.24.1E.11.33.55.19N",11.56533333,109.1233611,8.5,2009-06-12,2009,"Southeast Asia",0.05,NA,NA,0.05625
2095,"109.7.24.1E.11.33.55.19N",11.56533333,109.1233611,3,2010-06-07,2010,"Southeast Asia",0.29375,NA,NA,0.10625
2096,"109.7.24.1E.11.33.55.19N",11.56533333,109.1233611,8.5,2010-06-07,2010,"Southeast Asia",0.00625,NA,NA,0.125
2095,"109.7.24.1E.11.33.55.19N",11.56533333,109.1233611,3,2011-05-18,2011,"Southeast Asia",0.1875,NA,NA,0.0875
2096,"109.7.24.1E.11.33.55.19N",11.56533333,109.1233611,8.5,2011-05-18,2011,"Southeast Asia",0.15,NA,NA,0.1125
2097,"109.15371E.11.60536N",11.60536111,109.1537222,1.5,2002-05-22,2002,"Southeast Asia",0.06875,NA,NA,0.675
2098,"109.15371E.11.60536N",11.60536111,109.1537222,3.7,2002-05-22,2002,"Southeast Asia",0.125,NA,NA,0.44375
2099,"109.15371E.11.60536N",11.60536111,109.1537222,3,2007-06-26,2007,"Southeast Asia",0,NA,NA,0.325
2100,"109.15371E.11.60536N",11.60536111,109.1537222,8.5,2007-06-26,2007,"Southeast Asia",0,NA,NA,0.31875
2099,"109.15371E.11.60536N",11.60536111,109.1537222,3,2008-07-23,2008,"Southeast Asia",0.0125,NA,NA,0.56875
2100,"109.15371E.11.60536N",11.60536111,109.1537222,8.5,2008-07-23,2008,"Southeast Asia",0.0625,NA,NA,0.425
2099,"109.15371E.11.60536N",11.60536111,109.1537222,3,2009-06-13,2009,"Southeast Asia",0.075,NA,NA,0.31875
2100,"109.15371E.11.60536N",11.60536111,109.1537222,8.5,2009-06-13,2009,"Southeast Asia",0.00625,NA,NA,0.34375
2099,"109.15371E.11.60536N",11.60536111,109.1537222,3,2010-06-08,2010,"Southeast Asia",0.11875,NA,NA,0.49375
2100,"109.15371E.11.60536N",11.60536111,109.1537222,8.5,2010-06-08,2010,"Southeast Asia",0.03125,NA,NA,0.3
2099,"109.15371E.11.60536N",11.60536111,109.1537222,3,2011-05-22,2011,"Southeast Asia",0.06875,NA,NA,0.35
2100,"109.15371E.11.60536N",11.60536111,109.1537222,8.5,2011-05-22,2011,"Southeast Asia",0.03125,NA,NA,0.34375
2101,"109.16124E.11.61808N",11.61808333,109.16125,2.5,2002-05-22,2002,"Southeast Asia",0.01875,NA,NA,0.1875
2102,"109.16124E.11.61808N",11.61808333,109.16125,5.5,2002-05-22,2002,"Southeast Asia",0.01875,NA,NA,0.1375
2103,"109.16124E.11.61808N",11.61808333,109.16125,3,2007-06-26,2007,"Southeast Asia",0,NA,NA,0.325
2104,"109.16124E.11.61808N",11.61808333,109.16125,8.5,2007-06-26,2007,"Southeast Asia",0.04375,NA,NA,0.2875
2103,"109.16124E.11.61808N",11.61808333,109.16125,3,2008-07-23,2008,"Southeast Asia",0.0125,NA,NA,0.375
2104,"109.16124E.11.61808N",11.61808333,109.16125,8.5,2008-07-23,2008,"Southeast Asia",0.05625,NA,NA,0.13125
2103,"109.16124E.11.61808N",11.61808333,109.16125,3,2009-06-13,2009,"Southeast Asia",0.06875,NA,NA,0.35625
2104,"109.16124E.11.61808N",11.61808333,109.16125,8.5,2009-06-13,2009,"Southeast Asia",0.0125,NA,NA,0.34375
2103,"109.16124E.11.61808N",11.61808333,109.16125,3,2010-06-08,2010,"Southeast Asia",0.04375,NA,NA,0.325
2104,"109.16124E.11.61808N",11.61808333,109.16125,8.5,2010-06-08,2010,"Southeast Asia",0.00625,NA,NA,0.14375
2103,"109.16124E.11.61808N",11.61808333,109.16125,3,2011-05-22,2011,"Southeast Asia",0.025,NA,NA,0.48125
2104,"109.16124E.11.61808N",11.61808333,109.16125,8.5,2011-05-22,2011,"Southeast Asia",0.0125,NA,NA,0.325
2105,"109.10.47.14E.11.40.9.98N",11.66944444,109.17975,3,2007-06-27,2007,"Southeast Asia",0.00625,NA,NA,0.41875
2106,"109.10.47.14E.11.40.9.98N",11.66944444,109.17975,8.5,2007-06-27,2007,"Southeast Asia",0,NA,NA,0.4375
